ROI#,Lobe,Hierarchy
1,4,2
2,3,3
3,3,3
4,1,4
5,1,4
6,3,3
7,3,3
8,3,1
9,2,3
10,1,3
11,1,3
12,3,3
13,5,6
14,4,2
15,1,1
16,5,6
17,3,3
18,1,4
19,3,1
20,1,4
21,1,3
22,2,2
23,1,3
24,4,2
25,2,2
26,3,1
27,3,4
28,3,2
29,2,4
30,3,3
31,1,3
32,3,2
33,2,5
34,1,3
35,2,3
36,1,4
37,1,3
38,2,4
39,4,1
40,5,6
41,3,4
42,5,6
43,2,5
44,2,3
45,1,1
46,1,4
47,1,4
48,4,1
49,1,4
50,3,3
51,1,4
52,3,3
53,1,4
54,3,1
55,1,3
56,2,2
57,2,2
58,1,3
59,3,1
60,2,2
61,5,6
62,2,3
63,4,1
64,1,4
65,2,3
66,1,1
67,1,4
68,1,3
69,3,4
70,2,4
71,1,4
72,4,2
73,4,2
74,2,4
75,5,6
76,4,2
77,2,2
78,3,1
79,4,1
80,1,1
81,1,3
82,2,5
83,3,2
84,5,6
85,1,3
86,3,1
87,4,2
88,1,1
89,2,3
90,2,2
91,2,2
92,4,2
93,1,3
94,4,2
95,1,3
96,2,3
97,4,1
98,1,3
99,2,4
100,1,1
101,1,4
102,1,3
103,4,2
104,1,1
105,3,2
106,2,3
107,1,2
108,3,2
109,2,2
110,1,1
111,1,3
112,1,3
113,1,3
114,3,2
115,2,4
116,4,1
117,4,2
118,1,3
119,1,1
120,5,6
121,4,2
122,2,4
123,4,2
124,1,3
125,2,3
126,1,3
127,4,1
128,4,2
129,1,3
130,2,5
131,2,2
132,3,3
133,5,6
134,1,3
135,4,2
136,1,3
137,2,3
138,3,1
139,2,5
140,3,2
141,3,1
142,4,1
143,4,2
144,1,4
145,1,2
146,4,2
147,1,3
148,1,1
149,4,2
150,1,3
151,1,3
152,1,3
153,4,2
154,3,2
155,2,2
156,1,3
157,3,3
158,4,2
159,4,2
160,5,6
161,4,2
162,3,2
163,2,4
164,1,2
165,1,3
166,1,2
167,3,2
168,1,3
169,1,3
170,3,2
171,2,2
172,1,3
173,1,3
174,4,2
175,2,4
176,3,3
177,2,2
178,5,6
179,2,2
